,Reserves,Yearly Public Spending,Unemployment Rate,GDP,Tax Revenue,Inflation Rate,Interest Rate
0,5439372030600.0,109843007650.0,8.4,0.0,0.0,39.05,42.5
1,5329529022950.0,120827308415.00002,100.0,0.0,0.0,39.05,42.5
2,5208708947427.178,132910039256.50003,96.87614847482543,16942710.757669922,7232892.17775134,39.05,42.5
3,5075815768339.003,146201043182.15005,93.75229694965086,16833889.477339316,16860168.32567258,39.05,42.5
4,4929630869760.292,160821147500.36508,94.37706725468577,2544479.9495387576,16144603.43946881,39.05,42.5
5,4768827613462.334,176903262250.4016,93.60529217199559,11120178.554801032,17891202.407243412,39.05,42.5
6,4591944989818.936,194593588475.4418,92.24549797868431,17420402.554965258,20638607.002451375,39.05,42.5
7,4397375492049.265,214052947322.986,91.17971334068358,19864174.400326878,24090705.771023594,39.05,42.5
8,4183348857716.4883,235458242055.2846,89.81991914737229,23830781.61386669,26312990.209087912,39.05,42.5
9,3947920645106.99,259004066260.81308,88.16611539875045,26347970.76597032,30029445.786509775,39.05,42.5
10,3688950860141.0615,284904472886.8944,86.40205806688718,27330830.5000556,34281294.88418664,39.05,42.5
11,3404085360394.5728,313394920175.58386,84.38074237412717,29667508.251589395,38973140.40600334,39.05,42.5
12,3090735102514.406,344734412193.1423,81.99191473722895,32195802.038771767,44662295.41695512,39.05,42.5
13,2746049572224.8735,379207853412.45654,79.6765894891584,35116448.149296224,48881903.60998577,39.05,42.5
14,2366896437506.1187,417128638753.7022,77.21425946343257,36539710.53911573,54718693.70187996,39.05,42.5
15,1949828408224.4834,458841502629.07245,74.67842704887909,38527640.196981676,60609472.06699071,39.05,42.5
16,1491052891307.5544,504725652891.97974,72.21609702315325,40805908.8417218,65985712.14361418,39.05,42.5
17,986397052022.8125,555198218181.1777,69.90077177508269,42616668.82431383,69813607.23775966,39.05,42.5
18,431275902255.62634,610718039999.2955,67.43844174935685,42664496.42201324,77068413.99158843,39.05,42.5
19,-179360381417.55914,488574431999.43646,65.19661889011394,45582873.08892071,81756326.11003801,39.05,42.5
20,-667846951872.4022,390859545599.5492,62.807791253215726,47502462.26280413,87861544.59338367,39.05,42.5
21,-1058612451998.2494,312687636479.63934,60.27195883866226,49199203.447674155,94045473.70200731,39.05,42.5
22,-1371198913710.5771,250150109183.7115,57.80962881293642,50991600.9939965,101174767.31152786,39.05,42.5
23,-1621242036456.738,200120087346.9692,55.20029400955531,52750513.919967145,106986437.55051462,39.05,42.5
24,-1821248181058.4746,160096069877.57538,52.88496876148475,54504533.797978,113942745.23257431,39.05,42.5
25,-1981223802799.676,128076855902.0603,50.349136346931274,56297194.43502709,120448136.3741208,39.05,42.5
26,-2109174566818.1472,102461484721.64825,48.03381109886071,58166601.86278941,126091883.58899297,39.05,42.5
27,-2211503162975.249,81969187777.3186,45.571481073134876,59937229.6551675,132888564.54627247,39.05,42.5
28,-2293332738443.3193,65575350221.85489,43.03564865858141,61732520.41010139,139612309.24793202,39.05,42.5
29,-2358762064381.2725,52460280177.48392,41.01433296582139,63532381.36423508,146024283.9020658,39.05,42.5
30,-2411070348740.096,41968224141.98714,38.51525174568173,65324749.30659992,151995818.66002715,39.05,42.5
31,-2452880095884.4517,33574579313.58971,36.310180080852625,67114664.15503867,158476997.63162404,39.05,42.5
32,-2486292323631.082,26859663450.87177,34.178610804851154,68822579.64662184,162351566.95958394,39.05,42.5
33,-2512984789473.847,21487730760.69742,32.120543917677324,70537689.117133,167197608.1066567,39.05,42.5
34,-2534301918889.2007,17190184608.557934,30.209481808158767,72213204.62263228,170601345.3437233,39.05,42.5
35,-2551316114413.293,13752147686.846348,28.077912532157296,73817237.9079317,175989084.46585676,39.05,42.5
36,-2564888317998.388,11001718149.47708,25.909592061742003,75420897.03856945,179944101.75078955,39.05,42.5
37,-2575706189847.1523,8801374519.581663,23.88827636898199,77054024.42054836,183846300.71287775,39.05,42.5
38,-2584319259120.5586,7041099615.665331,21.903711870635796,78660383.53088565,188305246.1752689,39.05,42.5
39,-2591167808356.963,5632879692.532265,19.99264976111724,80271433.1648619,192550379.26117015,39.05,42.5
40,-2596604517799.148,4506303754.025812,18.30209481808159,81912956.51527983,196170250.34696892,39.05,42.5
41,-2600911844210.4287,3605043003.2206497,16.721793458287397,83399756.80186352,198977342.74522722,39.05,42.5
42,-2604314647648.4727,2884034402.57652,14.92098493201029,84987121.26583146,202239565.1767006,39.05,42.5
43,-2606994381581.831,2307227522.061216,13.487688349871371,86461123.0537711,204300469.2183542,39.05,42.5
44,-2609094939446.2803,1845782017.6489727,11.944138184490996,87928155.05782875,206669657.61175147,39.05,42.5
45,-2610731859138.94,1476625614.1191783,10.216832047041528,89330298.57682122,208862324.98940226,39.05,42.5
46,-2611997697796.2134,1181300491.2953427,8.673281881661154,90723175.42633788,210786956.8458976,39.05,42.5
47,-2612966470787.616,945040393.0362742,7.239985299522235,92128852.86755247,212527499.89244002,39.05,42.5
48,-2613698302934.948,756032314.4290195,6.137449467107681,93534131.1817425,213208245.70416066,39.05,42.5
49,-2614239664030.69,604825851.5432156,5.3289231900036755,94810574.05360064,214671218.6875174,39.05,42.5
50,-2614628149729.712,483860681.2345725,4.1161337743476665,96213659.40431857,216340152.52156433,39.05,42.5
51,-2614894699611.8516,387088544.987658,3.5648658581403896,97616615.5412411,217310799.0949512,39.05,42.5
52,-2615063328130.8433,309670835.99012643,2.7563395810363835,99072988.11877957,218460025.99599138,39.05,42.5
53,-2615154246207.9204,247736668.79210114,2.3153252480705624,100445589.38973872,218752758.91332644,39.05,42.5
