Step,AgentID,FirmType,Profit,IncomeBracket,NumPeople,SpendRatio,IncomeTaxRate,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare
3,46,luxury,-611853.4681966422,,,,,,,,,
3,47,luxury,-1630173.6061861592,,,,,,,,,
3,48,luxury,-892780.7924915468,,,,,,,,,
3,49,luxury,-1653420.2902414391,,,,,,,,,
3,50,luxury,-1735107.6942824223,,,,,,,,,
3,51,luxury,-803207.7044223988,,,,,,,,,
4,2,necessity,-2672078.8091120287,,,,,,,,,
4,3,necessity,-1628235.2042909632,,,,,,,,,
4,4,necessity,-2052076.928370357,,,,,,,,,
4,5,necessity,-3251684.4266378633,,,,,,,,,
4,6,necessity,-2513530.3433803036,,,,,,,,,
4,7,necessity,-2531202.043823141,,,,,,,,,
4,8,necessity,-2564765.6649194574,,,,,,,,,
4,9,necessity,-1605548.4690307248,,,,,,,,,
4,10,necessity,-2723607.7201912757,,,,,,,,,
4,11,necessity,-2535200.0504547204,,,,,,,,,
4,12,necessity,-1587850.5756606157,,,,,,,,,
4,13,necessity,-1651115.1388065564,,,,,,,,,
4,14,necessity,-2900132.329001141,,,,,,,,,
4,15,necessity,-2490085.9601390543,,,,,,,,,
4,16,necessity,-1647974.5157347606,,,,,,,,,
4,17,necessity,-1947231.2689229595,,,,,,,,,
4,18,necessity,-2048408.697851316,,,,,,,,,
4,19,necessity,-1829964.1047756847,,,,,,,,,
4,20,necessity,-3080091.6759013557,,,,,,,,,
4,21,necessity,-2545819.1718588374,,,,,,,,,
4,22,necessity,-2518242.7207720224,,,,,,,,,
4,23,necessity,-1372078.3449320227,,,,,,,,,
4,24,necessity,-1175530.1865281698,,,,,,,,,
4,25,necessity,-1505225.8795686262,,,,,,,,,
4,26,necessity,-1662602.5079018916,,,,,,,,,
4,27,necessity,-1742049.232226309,,,,,,,,,
4,28,necessity,-2471282.148810977,,,,,,,,,
4,29,necessity,-2904601.4316861858,,,,,,,,,
4,30,necessity,-1603428.3719318332,,,,,,,,,
4,31,necessity,-2568771.2327886634,,,,,,,,,
4,32,luxury,-851919.4744617977,,,,,,,,,
4,33,luxury,-891679.9541593319,,,,,,,,,
4,34,luxury,-927607.8817925256,,,,,,,,,
4,35,luxury,-1534545.9553649428,,,,,,,,,
4,36,luxury,-2407507.2406302956,,,,,,,,,
4,37,luxury,-1448826.348885984,,,,,,,,,
4,38,luxury,-2404973.1340044285,,,,,,,,,
4,39,luxury,-1370921.5568438442,,,,,,,,,
4,40,luxury,-1868148.8139021436,,,,,,,,,
4,41,luxury,-1378378.9417461217,,,,,,,,,
4,42,luxury,-2142438.1299845157,,,,,,,,,
4,43,luxury,-1509102.8508328032,,,,,,,,,
4,44,luxury,-655448.8107511632,,,,,,,,,
4,45,luxury,-2731521.2572935433,,,,,,,,,
4,46,luxury,-611853.4681966422,,,,,,,,,
4,47,luxury,-1630173.6061861592,,,,,,,,,
4,48,luxury,-892780.7924915468,,,,,,,,,
4,49,luxury,-1653420.2902414391,,,,,,,,,
4,50,luxury,-1735107.6942824223,,,,,,,,,
4,51,luxury,-803207.7044223988,,,,,,,,,
5,2,necessity,-2672078.8091120287,,,,,,,,,
5,3,necessity,-1628235.2042909632,,,,,,,,,
5,4,necessity,-2052076.928370357,,,,,,,,,
5,5,necessity,-3251684.4266378633,,,,,,,,,
5,6,necessity,-2513530.3433803036,,,,,,,,,
5,7,necessity,-2531202.043823141,,,,,,,,,
5,8,necessity,-2564765.6649194574,,,,,,,,,
5,9,necessity,-1605548.4690307248,,,,,,,,,
5,10,necessity,-2723607.7201912757,,,,,,,,,
