Step,AgentID,FirmType,Profit,Inventory,ProductPrice,RevenuePerEmployee,ProductionLevel,NumEmployees,DemandReceived,InventoryDemandRatio,SellThroughRate,ProductionCapacity,Revenue,Costs,Markup,ProducedUnits,UnmetDemand,Capital,IncomeBracket,NumPeople,SpendRatio,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare,SkillLevel,SkillType,JobLevel,IsEmployed,Wage
1,30,necessity,0.0,1630.4,8.81169778933495,0.0,0.8547488500895929,63.0,0.0,,,16304.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,31,necessity,0.0,1357.9,8.122274170895981,0.0,0.858691192659336,32.0,0.0,,,13579.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,32,necessity,0.0,2026.5,7.528093786167945,0.0,0.7870637844355577,21.0,0.0,,,20265.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,33,necessity,0.0,1512.8000000000002,10.045073903204301,0.0,0.6160155071734414,30.0,0.0,,,15128.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,34,necessity,0.0,2064.7000000000003,12.675587200685921,0.0,0.7233122508012723,27.0,0.0,,,20647.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,35,necessity,0.0,1470.8000000000002,10.368097632330732,0.0,0.6073239915564997,28.0,0.0,,,14708.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,36,necessity,0.0,1707.7,6.71371237084677,0.0,0.8895259596779345,23.0,0.0,,,17077.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,37,necessity,0.0,1776.2,11.249134570233785,0.0,0.7445690618637442,36.0,0.0,,,17762.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,38,necessity,0.0,1087.4,8.309226460766777,0.0,0.6683205060738338,28.0,0.0,,,10874.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,39,necessity,0.0,1128.2,10.339126878313442,0.0,0.8024765421322854,38.0,0.0,,,11282.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,40,necessity,0.0,1652.4,11.640842311695824,0.0,0.8933527098060936,32.0,0.0,,,16524.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,41,necessity,0.0,1117.8,13.86352672030543,0.0,0.7885496295786081,48.0,0.0,,,11178.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,42,necessity,0.0,1342.8000000000002,7.1432317699088035,0.0,0.8330871718427098,39.0,0.0,,,13428.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,43,necessity,0.0,1476.6000000000001,11.707455461186969,0.0,0.7385293288902322,18.0,0.0,,,14766.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,44,necessity,0.0,1517.5,7.147626593435589,0.0,0.6946190566305841,20.0,0.0,,,15175.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,45,necessity,0.0,1843.8000000000002,12.079217717685722,0.0,0.6211063126978766,49.0,0.0,,,18438.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,46,necessity,0.0,1652.2,8.639216153493534,0.0,0.7147433848713687,32.0,0.0,,,16522.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,47,necessity,0.0,1656.5,7.8670697158769505,0.0,0.7946994084635279,25.0,0.0,,,16565.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,48,necessity,0.0,1128.4,10.883489176433969,0.0,0.7719244099797722,29.0,0.0,,,11284.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,49,necessity,0.0,1444.0,12.026099919446112,0.0,0.8555147410905157,46.0,0.0,,,14440.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,50,necessity,0.0,2031.7,10.516638577606905,0.0,0.7940486955563986,19.0,0.0,,,20317.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,51,necessity,0.0,1262.8000000000002,8.171555141130863,0.0,0.7802044685577316,34.0,0.0,,,12628.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,52,necessity,0.0,1816.1000000000001,8.881842489933579,0.0,0.7116140850192237,26.0,0.0,,,18161.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,53,necessity,0.0,1139.0,7.626744181844464,0.0,0.8010192300114433,40.0,0.0,,,11390.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,54,necessity,0.0,1388.4,10.531534763703073,0.0,0.7359065370817844,23.0,0.0,,,13884.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,55,necessity,0.0,1235.0,7.813931476105744,0.0,0.7062927768728088,48.0,0.0,,,12350.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,56,necessity,0.0,988.1,9.236302522499713,0.0,0.7014624814221312,34.0,0.0,,,9881.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,57,necessity,0.0,1092.1000000000001,9.809259546661082,0.0,0.7275880190514271,40.0,0.0,,,10921.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,58,necessity,0.0,1036.9,6.61992649804166,0.0,0.8487334307274809,27.0,0.0,,,10369.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,59,necessity,0.0,2024.0,11.545260349694491,0.0,0.8378058478583499,31.0,0.0,,,20240.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,60,necessity,0.0,1113.6000000000001,6.62042704415163,0.0,0.7499799478816742,44.0,0.0,,,11136.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,61,necessity,0.0,1173.9,9.589686148393401,0.0,0.8303170575744047,20.0,0.0,,,11739.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,62,luxury,0.0,121.7,579.1553792783923,0.0,0.6434010682715527,35.0,0.0,,,1217.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,63,luxury,0.0,173.3,598.0225864440279,0.0,0.6963579010215839,57.0,0.0,,,1733.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,64,luxury,0.0,145.9,718.4223670183069,0.0,0.8131377387890157,69.0,0.0,,,1459.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,65,luxury,0.0,194.8,938.3053054115414,0.0,0.5370693660830109,39.0,0.0,,,1948.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,66,luxury,0.0,155.60000000000002,407.480856590788,0.0,0.6187299152358496,58.0,0.0,,,1556.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,67,luxury,0.0,146.9,840.8862442588902,0.0,0.8365770535258837,15.0,0.0,,,1469.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,68,luxury,0.0,124.60000000000001,940.0889615585196,0.0,0.8686345007568563,39.0,0.0,,,1246.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
1,69,luxury,0.0,151.4,714.2641733533537,0.0,0.835802192972272,79.0,0.0,,,1514.0,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,0,
